H_A_per_m,M_A_per_m,B_T
-1200.0,-1600000.0,-2.0121272627711906
-1196.5714285714287,-1599987.1023680596,-2.0121067466589646
-1193.142857142857,-1599975.9236835323,-2.012088390639765
-1189.7142857142858,-1599966.1797040866,-2.0120718375241426
-1186.2857142857142,-1599957.6314200382,-2.0120567869636705
-1182.857142857143,-1599950.0778105492,-2.012042986348114
-1179.4285714285713,-1599943.3497586616,-2.012030223158836
-1176.0,-1599937.3049397443,-2.01201831854543
-1172.5714285714287,-1599931.8235276032,-2.0120071219298596
-1169.142857142857,-1599926.8045874236,-2.0119965064736958
-1165.7142857142858,-1599922.1630456473,-2.011986365270353
-1162.2857142857142,-1599917.827144468,-2.011976608146311
-1158.857142857143,-1599913.7363034023,-2.0119671589738903
-1155.4285714285713,-1599909.8393227982,-2.011957953413711
-1152.0,-1599906.0928745645,-2.0119489370180865
-1148.5714285714287,-1599902.4602341617,-2.0119400636376006
-1145.142857142857,-1599898.9102152458,-2.0119312940823373
-1141.7142857142858,-1599895.4162745331,-2.0119225949970225
-1138.2857142857142,-1599891.9557596475,-2.0119139379158404
-1134.857142857143,-1599888.5092770634,-2.011905298468169
-1131.4285714285713,-1599885.0601609237,-2.0118966557110736
-1128.0,-1599881.5940265877,-2.011887991568282
-1124.5714285714287,-1599878.098395341,-2.0118792903585794
-1121.142857142857,-1599874.5623788799,-2.01187053839932
-1117.7142857142858,-1599870.976413993,-2.0118617236730167
-1114.2857142857142,-1599867.332039406,-2.0118528355469203
-1110.857142857143,-1599863.6217080343,-2.011843864537083
-1107.4285714285713,-1599859.8386289666,-2.011834802109796
-1104.0,-1599855.9766344214,-2.011825640514394
-1100.5714285714287,-1599852.0300676657,-2.0118163726424183
-1097.142857142857,-1599847.9936885377,-2.0118069919088875
-1093.7142857142858,-1599843.8625937453,-2.011797492152142
-1090.2857142857142,-1599839.6321495695,-2.0117878675492795
-1086.857142857143,-1599835.2979349769,-2.011778112544665
-1083.4285714285713,-1599830.8556934667,-2.011768221789423
-1080.0,-1599826.3012922462,-2.0117581900901316
-1076.5714285714287,-1599821.6306875497,-2.0117480123652456
-1073.142857142857,-1599816.8398951099,-2.011737683607987
-1069.7142857142858,-1599811.924964945,-2.011727198854663
-1066.2857142857142,-1599806.8819597624,-2.0117165531575245
-1062.857142857143,-1599801.7069363855,-2.01170574156143
-1059.4285714285716,-1599796.3959297123,-2.0116947590836864
-1056.0,-1599790.9449387875,-2.0116836006965437
-1052.5714285714287,-1599785.3499146355,-2.01167226131191
-1049.142857142857,-1599779.6067495649,-2.011660735767907
-1045.7142857142858,-1599773.711267692,-2.0116490188169656
-1042.2857142857142,-1599767.659216477,-2.0116371051151862
-1038.857142857143,-1599761.4462590986,-2.0116249892127582
-1035.4285714285716,-1599755.0679675152,-2.011612665545241
-1032.0,-1599748.5198160945,-2.0116001284255574
-1028.5714285714287,-1599741.7971757005,-2.0115873720365625
-1025.142857142857,-1599734.8953081528,-2.011574390424084
-1021.7142857142858,-1599727.8093609822,-2.011561177490329
-1018.2857142857143,-1599720.5343624214,-2.0115477269875908
-1014.8571428571429,-1599713.0652165737,-2.011534032512176
-1011.4285714285714,-1599705.3966987175,-2.011520087498507
-1008.0,-1599697.5234507066,-2.011505885213338
-1004.5714285714286,-1599689.4399764347,-2.0114914187500577
-1001.1428571428571,-1599681.1406373328,-2.011476681023032
-997.7142857142858,-1599672.6196478812,-2.011461664761962
-994.2857142857143,-1599663.871071109,-2.01144636250623
-990.8571428571429,-1599654.888814068,-2.011430766599212
-987.4285714285714,-1599645.6666232627,-2.0114148691825338
-984.0,-1599636.1980800258,-2.0113986621902598
-980.5714285714286,-1599626.476595823,-2.011382137342993
-977.1428571428571,-1599616.4954074793,-2.0113652861418787
-973.7142857142858,-1599606.2475723196,-2.0113480998624924
-970.2857142857143,-1599595.725963208,-2.0113305695486114
-966.8571428571429,-1599584.923263486,-2.0113126860058523
-963.4285714285714,-1599573.831961798,-2.0112944397951673
-960.0,-1599562.4443467965,-2.0112758212261896
-956.5714285714286,-1599550.7525017252,-2.0112568203504315
-953.1428571428571,-1599538.7482988704,-2.0112374269543065
-949.7142857142858,-1599526.4233938754,-2.011217630551986
-946.2857142857143,-1599513.7692199145,-2.01119742037808
-942.8571428571429,-1599500.7769817202,-2.0111767853801292
-939.4285714285714,-1599487.4376494572,-2.0111557142109078
-936.0,-1599473.7419524395,-2.0111341952205284
-932.5714285714287,-1599459.6803726866,-2.0111122164483435
-929.1428571428571,-1599445.24313831,-2.0110897656146363
-925.7142857142858,-1599430.4202167296,-2.0110668301120946
-922.2857142857142,-1599415.2013077117,-2.011043396997063
-918.8571428571429,-1599399.5758362236,-2.011019452980564
-915.4285714285714,-1599383.5329451016,-2.010994984419083
-912.0,-1599367.061487526,-2.010969977305112
-908.5714285714287,-1599350.1500192957,-2.0109444172574458
-905.1428571428571,-1599332.786790902,-2.010918289511215
-901.7142857142858,-1599314.9597393896,-2.0108915789076636
-898.2857142857142,-1599296.656480005,-2.010864269883651
-894.8571428571429,-1599277.8642976228,-2.0108363464608794
-891.4285714285714,-1599258.570137945,-2.010807792234834
-888.0,-1599238.7605984674,-2.0107785903634317
-884.5714285714287,-1599218.4219192078,-2.0107487235553685
-881.1428571428571,-1599197.5399731866,-2.0107181740581583
-877.7142857142858,-1599176.1002566572,-2.010686923645856
-874.2857142857142,-1599154.0878790775,-2.010654953606454
-870.8571428571429,-1599131.4875528142,-2.010622244728946
-867.4285714285714,-1599108.2835825763,-2.0105887772900477
-864.0,-1599084.4598545681,-2.010554531040566
-860.5714285714287,-1599059.9998253547,-2.010519485191408
-857.1428571428571,-1599034.8865104336,-2.010483618399218
-853.7142857142858,-1599009.1024725034,-2.010446908751636
-850.2857142857142,-1598982.6298094217,-2.010409333752168
-846.8571428571429,-1598955.4501418455,-2.010370870304649
-843.4285714285714,-1598927.5446005436,-2.0103314946973048
-840.0,-1598898.8938133747,-2.0102911825863843
-836.5714285714287,-1598869.4778919204,-2.0102499089793633
-833.1428571428571,-1598839.2764177648,-2.0102076482177047
-829.7142857142858,-1598808.2684284137,-2.0101643739591606
-826.2857142857143,-1598776.4324028383,-2.0101200591596085
-822.8571428571429,-1598743.7462466406,-2.0100746760544097
-819.4285714285714,-1598710.187276826,-2.0100281961392725
-816.0,-1598675.7322061737,-2.009980590150611
-812.5714285714287,-1598640.3571271952,-2.009931828045391
-809.1428571428571,-1598604.0374956704,-2.0098818789804342
-805.7142857142858,-1598566.748113749,-2.0098307112911886
-802.2857142857143,-1598528.4631126071,-2.0097782924699317
-798.8571428571429,-1598489.1559346465,-2.009724589143401
-795.4285714285714,-1598448.7993152267,-2.0096695670498392
-792.0,-1598407.3652639145,-2.0096131910154296
-788.5714285714287,-1598364.8250452415,-2.0095554249301184
-785.1428571428571,-1598321.1491589553,-2.0094962317227956
-781.7142857142858,-1598276.3073197515,-2.009435573335824
-778.2857142857143,-1598230.2684364738,-2.009373410698905
-774.8571428571429,-1598183.000590767,-2.0093097037022507
-771.4285714285714,-1598134.4710151714,-2.009244411169057
-768.0,-1598084.6460706403,-2.00917749082725
-764.5714285714287,-1598033.49122347,-2.009108899280499
-761.1428571428571,-1597980.971021625,-2.0090385919784617
-757.7142857142858,-1597927.049070441,-2.008966523186254
-754.2857142857143,-1597871.6880076954,-2.008892645953122
-750.8571428571429,-1597814.849478023,-2.0088169120802934
-747.4285714285714,-1597756.494106663,-2.0087392720879835
-744.0,-1597696.5814725212,-2.0086596751815478
-740.5714285714287,-1597635.0700805283,-2.0085780692167443
-737.1428571428571,-1597571.9173332753,-2.0084944006640897
-733.7142857142858,-1597507.079501912,-2.0084086145722906
-730.2857142857143,-1597440.5116962837,-2.0083206545307144
-726.8571428571429,-1597372.1678342926,-2.00823046263089
-723.4285714285714,-1597302.0006104612,-2.0081379794270005
-720.0,-1597229.9614636765,-2.008043143895352
-716.5714285714287,-1597156.0005440987,-2.007945893392787
-713.1428571428571,-1597080.0666792074,-2.007846163614022
-709.7142857142858,-1597002.1073389694,-2.007743888547869
-706.2857142857143,-1596922.0686001016,-2.007639000432332
-702.8571428571429,-1596839.8951094092,-2.0075314297085356
-699.4285714285714,-1596755.5300461743,-2.0074211049734596
-696.0,-1596668.9150835713,-2.007307952931453
-692.5714285714287,-1596579.9903490876,-2.007191898344497
-689.1428571428571,-1596488.694383919,-2.0070728639811817
-685.7142857142858,-1596394.964101322,-2.0069507705643668
-682.2857142857143,-1596298.7347438894,-2.0068255367174936
-678.8571428571429,-1596199.939839729,-2.0066970789095198
-675.4285714285714,-1596098.5111575143,-2.006565311398431
-672.0,-1595994.3786603808,-2.0064301461733085
-668.5714285714286,-1595887.4704586403,-2.006291492894905
-665.1428571428572,-1595777.7127612822,-2.0061492588347023
-661.7142857142858,-1595665.0298262353,-2.006003348812406
-658.2857142857143,-1595549.3439093558,-2.005853665131844
-654.8571428571429,-1595430.5752121152,-2.005700107515228
-651.4285714285714,-1595308.6418279517,-2.005542573035737
-648.0,-1595183.4596872574,-2.0053809560483855
-644.5714285714286,-1595054.9425009664,-2.005215148119136
-641.1428571428572,-1594923.0017027077,-2.005045037952204
-637.7142857142858,-1594787.5463894948,-2.004870511315527
-634.2857142857143,-1594648.48326091,-2.0046914509643434
-630.8571428571429,-1594505.716556753,-2.0045077365628354
-627.4285714285714,-1594359.1479931148,-2.0043192446038014
-624.0,-1594208.6766968402,-2.0041258483262956
-620.5714285714286,-1594054.1991383417,-2.003927417631201
-617.1428571428572,-1593895.6090627254,-2.0037238189946813
-613.7142857142858,-1593732.7974191904,-2.0035149153794567
-610.2857142857143,-1593565.6522886595,-2.003300566143868
-606.8571428571429,-1593394.0588096038,-2.003080626948661
-603.4285714285714,-1593217.8991020168,-2.002854949661451
-600.0,-1593037.052189497,-2.002623382258807
-596.5714285714286,-1592851.3939193948,-2.0023857687259095
-593.1428571428572,-1592660.796880981,-2.0021419489537142
-589.7142857142858,-1592465.1303215914,-2.0018917586335765
-586.2857142857143,-1592264.2600607034,-2.0016350291492793
-582.8571428571429,-1592058.0484018961,-2.001371587466397
-579.4285714285714,-1591846.35404265,-2.0011012560189467
-576.0,-1591629.0319819353,-2.00082385259326
-572.5714285714286,-1591405.9334255438,-2.0005391902090204
-569.1428571428572,-1591176.9056891133,-2.0002470769974003
-565.7142857142858,-1590941.7920987944,-1.9999473160762333
-562.2857142857143,-1590700.4318895105,-1.9996397054221664
-558.8571428571429,-1590452.6601007588,-1.9993240377397177
-555.4285714285714,-1590198.3074699007,-1.999000100327183
-552.0,-1589937.2003228888,-1.9986676749393169
-548.5714285714286,-1589669.1604623778,-1.9983265376467318
-545.1428571428572,-1589394.0050531644,-1.9979764586919349
-541.7142857142858,-1589111.5465049024,-1.9976172023419445
-538.2857142857143,-1588821.5923520385,-1.9972485267374134
-534.8571428571429,-1588523.945130912,-1.9968701837381873
-531.4285714285714,-1588218.4022539624,-1.99648191876523
-528.0,-1587904.7558809905,-1.9960834706388437
-524.5714285714286,-1587582.7927874117,-1.995674571413113
-521.1428571428572,-1587252.2942294485,-1.9952549462065006
-517.7142857142858,-1586913.0358062019,-1.9948243130285195
-514.2857142857143,-1586564.7873185428,-1.9943823826024132
-510.8571428571429,-1586207.3126247698,-1.9939288581837675
-507.42857142857144,-1585840.369492967,-1.99346343537498
-504.0,-1585463.7094500116,-1.9929858019355153
-500.57142857142856,-1585077.0776271662,-1.9924956375878722
-497.1428571428572,-1584680.2126022005,-1.991992613819188
-493.7142857142858,-1584272.8462379822,-1.9914763936784037
-490.28571428571433,-1583854.7035174798,-1.990946631568926
-486.8571428571429,-1583425.5023751187,-1.9904029730366992
-483.42857142857144,-1582984.9535244317,-1.9898450545536281
-480.0,-1582532.760281949,-1.9892725032962686
-476.57142857142856,-1582068.6183872686,-1.988684936919723
-473.1428571428572,-1581592.2158192522,-1.9880819633266658
-469.7142857142858,-1581103.232608291,-1.9874631804314271
-466.28571428571433,-1580601.340644589,-1.9868281759190771
-462.8571428571429,-1580086.2034824064,-1.9861765269994307
-459.42857142857144,-1579557.4761402162,-1.9855078001559152
-456.0,-1579014.8048967202,-1.9848215508892375
-452.57142857142867,-1578457.8270826763,-1.9841173234557874
-449.1428571428572,-1577886.1708684918,-1.9833946506007183
-445.7142857142858,-1577299.4550475338,-1.9826530532856468
-442.28571428571433,-1576697.288815119,-1.9818920404109241
-438.8571428571429,-1576079.2715431366,-1.9811111085324182
-435.42857142857144,-1575444.9925502713,-1.9803097415727688
-432.0,-1574794.0308677885,-1.9794874105270612
-428.57142857142867,-1574125.9550008504,-1.9786435731628909
-425.1428571428572,-1573440.3226853358,-1.9777776737147723
-421.7142857142858,-1572736.6806401361,-1.976889142572865
-418.28571428571433,-1572014.5643149097,-1.9759773959659925
-414.8571428571429,-1571273.497633275,-1.97504183563893
-411.42857142857144,-1570512.992731434,-1.9740818485239482
-408.0,-1569732.549692215,-1.9730968064066008
-404.57142857142867,-1568931.6562745369,-1.9720860655857615
-401.1428571428572,-1568109.787638297,-1.971048966527906
-397.7142857142858,-1567266.4060646931,-1.9699848335156582
-394.28571428571433,-1566400.9606719955,-1.9688929742906205
-390.8571428571429,-1565512.8871267969,-1.967772679690518
-387.42857142857144,-1564601.607350766,-1.9666232232806957
-384.0,-1563666.5292229485,-1.9654438609800173
-380.57142857142867,-1562707.0462776616,-1.964233830681229
-377.1428571428572,-1561722.5373980387,-1.9629923518658574
-373.7142857142858,-1560712.3665052922,-1.9617186252137235
-370.28571428571433,-1559675.8822437704,-1.960411832207175
-366.8571428571429,-1558612.4176618946,-1.9590711347301404
-363.42857142857144,-1557521.289889079,-1.9576956746621337
-360.0,-1556401.7998087408,-1.9562845734673457
-356.57142857142867,-1555253.2317275272,-1.9548369317789855
-353.1428571428572,-1554074.8530408954,-1.953351828979033
-349.7142857142858,-1552865.9138951981,-1.9518283227736042
-346.28571428571433,-1551625.646846442,-1.9502654487641344
-342.8571428571429,-1550353.2665159001,-1.9486622200146084
-339.42857142857144,-1549047.9692427802,-1.94701762661509
-336.0,-1547708.9327341658,-1.9453306352418243
-332.57142857142867,-1546335.3157124633,-1.943600188714209
-329.1428571428572,-1544926.257560616,-1.9418252055489542
-325.7142857142858,-1543480.8779653532,-1.9400045795117788
-322.28571428571433,-1541998.2765587803,-1.9381371791670174
-318.8571428571429,-1540477.5325586223,-1.9362218474255375
-315.42857142857144,-1538917.7044074682,-1.9342574010914015
-312.0,-1537317.8294113833,-1.9322426304077314
-308.57142857142867,-1535676.9233782836,-1.9301762986022797
-305.1428571428572,-1533993.980256493,-1.9280571414332242
-301.7142857142858,-1532267.9717739315,-1.9258838667357596
-298.28571428571433,-1530497.8470784149,-1.9236551539700855
-294.8571428571429,-1528682.5323795725,-1.9213696537714258
-291.42857142857144,-1526820.930592926,-1.9190259875027658
-288.0,-1524911.9209867024,-1.916622746811023
-284.57142857142867,-1522954.3588319912,-1.9141584931874236
-281.1428571428572,-1520947.0750568877,-1.9116317575328847
-277.7142857142858,-1518888.8759053072,-1.9090410397292676
-274.28571428571433,-1516778.5426011896,-1.906384808217406
-270.8571428571429,-1514614.831018853,-1.9036614995828587
-267.42857142857144,-1512396.4713603025,-1.9008695181504052
-264.0,-1510122.1678403332,-1.8980072355883324
-260.57142857142867,-1507790.5983803205,-1.8950729905236434
-257.1428571428572,-1505400.4143116307,-1.8920650881693493
-253.71428571428578,-1502950.2400896333,-1.8889817999650875
-250.28571428571433,-1500438.673019344,-1.8858213632323548
-246.8571428571429,-1497864.2829937784,-1.8825819808457132
-243.42857142857144,-1495225.6122461478,-1.8792618209213892
-240.0,-1492521.175117077,-1.8758590165247504
-236.57142857142867,-1489749.4578380832,-1.8723716653982194
-233.14285714285722,-1486908.9183326038,-1.8687978297112364
-229.71428571428578,-1483997.9860359228,-1.8651355358339714
-226.28571428571433,-1481015.0617353963,-1.861382774136547
-222.8571428571429,-1477958.5174324398,-1.857537498815606
-219.42857142857144,-1474826.6962277966,-1.8535976277501358
-216.0,-1471617.912231666,-1.8495610423885307
-212.57142857142867,-1468330.4505003311,-1.8454255876689578
-209.14285714285722,-1464962.567000985,-1.8411890719751562
-205.71428571428578,-1461512.4886065163,-1.8368492671298826
-202.28571428571433,-1457978.413122075,-1.8324039084282964
-198.8571428571429,-1454358.5093452998,-1.827850694713644
-195.42857142857144,-1450650.9171621525,-1.8231872884976863
-192.0,-1446853.7476803581,-1.818411316128385
-188.57142857142867,-1442965.083402519,-1.8135203680074456
-185.14285714285722,-1438982.9784410195,-1.8085119988603726
-181.71428571428578,-1434905.458776901,-1.8033837280617826
-178.28571428571433,-1430730.5225649434,-1.7981330400187807
-174.8571428571429,-1426456.1404872402,-1.7927573846152765
-171.42857142857156,-1422080.2561576057,-1.7872541777201763
-168.0,-1417600.786579207,-1.7816208017624608
-164.57142857142867,-1413015.6226578522,-1.7758546063762026
-161.1428571428571,-1408322.629773416,-1.7699529091186403
-157.71428571428578,-1403519.6484119173,-1.76391299626447
-154.28571428571445,-1398604.4948608014,-1.7577321236795644
-150.8571428571429,-1393574.9619700075,-1.751407517777357
-147.42857142857156,-1388428.8199814255,-1.7449363765611685
-144.0,-1383163.8174293686,-1.7383158707557742
-140.57142857142867,-1377777.6821146924,-1.7315431450315182
-137.1428571428571,-1372268.1221552058,-1.7246153193242992
-133.71428571428578,-1366632.8271150077,-1.7175294902547353
-130.28571428571445,-1360869.4692153747,-1.710282732649812
-126.85714285714289,-1354975.7046298084,-1.7028721011702859
-123.42857142857156,-1348949.1748658142,-1.6952946320470794
-120.0,-1342787.5082359477,-1.6875473449298513
-116.57142857142867,-1336488.3214206123,-1.6796272448508671
-113.14285714285711,-1330049.2211250258,-1.6715313243072056
-109.71428571428578,-1323467.8058327,-1.663256565464243
-106.28571428571445,-1316741.6676576873,-1.654799942483258
-102.85714285714289,-1309868.394297742,-1.6461584239758456
-99.42857142857156,-1302845.5710904312,-1.6373289755877019
-96.0,-1295670.7831740878,-1.6283085627141571
-92.57142857142867,-1288341.6177553565,-1.61909415334966
-89.14285714285711,-1280855.6664849082,-1.6096827210731866
-85.71428571428578,-1273210.5279427194,-1.6000712481713348
-82.28571428571445,-1265403.8102341043,-1.590256728900596
-78.85714285714289,-1257433.13369747,-1.5802361728900187
-75.42857142857156,-1249296.1337245181,-1.5700066086851796
-72.0,-1240990.4636933578,-1.559565087434041
-68.57142857142867,-1232513.7980147086,-1.5489086867149235
-65.14285714285711,-1223863.8352910748,-1.5380345145064414
-61.71428571428578,-1215038.3015884403,-1.526939713298834
-58.28571428571445,-1206034.9538196917,-1.515621464345703
-54.85714285714289,-1196851.5832386108,-1.5040769920546917
-51.42857142857156,-1187486.0190428873,-1.4923035685151635
-48.0,-1177936.132084189,-1.4802985181604147
-44.57142857142867,-1168199.838682905,-1.4680592225614224
-41.14285714285711,-1158275.1045447153,-1.45558312534855
-37.71428571428578,-1148159.9487756747,-1.4428677372570513
-34.28571428571445,-1137852.4479920103,-1.4299106412915938
-30.85714285714289,-1127350.7405203131,-1.4167094980043757
-27.42857142857156,-1116653.0306832897,-1.4032620508807598
-24.0,-1105757.5931656868,-1.3895661318256556
-20.57142857142867,-1094662.7774544528,-1.3756196667431926
-17.14285714285711,-1083367.0123466263,-1.3614206812014984
-13.71428571428578,-1071868.8105178613,-1.3469673061736769
-10.285714285714448,-1060166.773143911,-1.3322577838453378
-6.85714285714289,-1048259.5945667945,-1.3172904734782724
-3.4285714285715585,-1036146.0669967727,-1.3020638573191323
0.0,-1023825.0852406574,-1.2865765465411974
3.428571428571331,-1011295.6514463814,-1.2708272872065776
6.85714285714289,-998556.8798531581,-1.254814966235441
10.28571428571422,-985608.001535983,-1.23853861736813
13.714285714285552,-972448.3691326461,-1.221997427105299
17.14285714285711,-959077.4615408763,-1.2051907406105211
20.57142857142844,-945494.8885726976,-1.1881180675591252
24.0,-931700.395552563,-1.1707790879163802
27.42857142857133,-917693.8678453516,-1.1531736576275442
30.85714285714289,-903475.3352998581,-1.1353018142017195
34.28571428571422,-889044.9765929948,-1.1171637821709357
37.71428571428555,-874403.1234595455,-1.0987599784054167
41.14285714285711,-859550.264791994,-1.0800910172655769
44.57142857142844,-844487.0505946648,-1.0611577155709402
48.0,-829214.2957761982,-1.0419610973659064
51.42857142857133,-813732.9837642207,-1.0225023984620776
54.85714285714289,-798044.2699259695,-1.0027830707367436
58.28571428571422,-782149.4847786077,-0.9828047861670827
61.71428571428555,-766050.1369730022,-0.9625694405796867
65.14285714285711,-749747.9160348573,-0.9420791570951724
68.57142857142844,-733244.6948472922,-0.9213362892478786
72.0,-716542.5318592269,-0.9003434237610076
75.42857142857133,-699643.6730043036,-0.8791033829580116
78.85714285714289,-682550.5533155148,-0.8576192267915946
82.28571428571422,-665265.7982212486,-0.8358942544723715
85.71428571428555,-647792.2245090778,-0.8139320056800005
89.14285714285711,-630132.8409443384,-0.7917362613405117
92.57142857142844,-612290.8485313368,-0.7693110439545504
96.0,-594269.640405917,-0.7466606174623729
99.42857142857133,-576072.8013490933,-0.7237894866326589
102.85714285714289,-557704.1069125086,-0.7007023959635298
106.28571428571422,-539167.5221476249,-0.6774043280856036
109.71428571428555,-520467.19993176195,-0.6539005016584318
113.14285714285711,-501607.47888539784,-0.6301963687533029
116.57142857142844,-482592.8808764995,-0.6062976117170906
120.0,-463428.10810907284,-0.5822101395136196
123.42857142857133,-444118.039794603,-0.5579400835408724
126.85714285714289,-424667.72840657714,-0.5334937929242851
130.28571428571422,-405082.39551985514,-0.5088778292883457
133.71428571428555,-385367.42723825015,-0.48409896101072236
137.1428571428571,-365528.36921531084,-0.4591641569651943
140.57142857142844,-345570.9212749368,-0.4340805797617175
144.0,-325500.9316401042,-0.4088555784940272
147.42857142857133,-305324.3907796262,-0.38349668100724943
150.8571428571429,-285047.4248844959,-0.35801158570003166
154.28571428571422,-264676.28898697114,-0.33240815287772946
157.71428571428555,-244217.35973712333,-0.3066943956751505
161.1428571428571,-223677.12785310444,-0.2808784705692797
164.57142857142844,-203062.19026285302,-0.25496866750425645
168.0,-182379.2419563646,-0.22897339965263494
171.42857142857133,-161635.06756898752,-0.20290119283864225
174.8571428571429,-140836.53271744566,-0.17676067465070328
178.28571428571422,-119990.57511145185,-0.15056056327196457
181.71428571428555,-99104.19546482227,-0.1243096560588641
185.1428571428571,-78184.44823095456,-0.09801681789898949
188.57142857142844,-57238.43218836079,-0.07169096938050995
192.0,-36273.280902654995,-0.045341074806356255
195.42857142857133,-15296.153091985128,-0.018976130087065494
198.8571428571429,5685.777076653325,0.0073948494532308775
202.28571428571422,26665.32973245615,0.033762841322783954
205.71428571428555,47635.32905925749,0.060118828125053675
209.1428571428571,68588.61303938617,0.08645380980319978
212.57142857142844,89518.04315502281,0.11275881583116673
216.0,110416.51401937642,0.13902491731657712
219.42857142857133,131276.96291035166,0.1652432389810913
222.8571428571429,152092.3791798761,0.19140497098451678
226.28571428571422,172855.81351266755,0.2175013805597184
229.71428571428555,193560.38700897087,0.2435238234263219
233.1428571428571,214199.30006664613,0.26946375495227526
236.57142857142844,234765.84103896437,0.29531274103355554
240.0,255253.39464554333,0.32106246866366267
243.42857142857133,275655.45011502155,0.3467047561660053
246.8571428571429,295965.6090393359,0.3722315630638771
250.28571428571422,316177.592920799,0.39763499956439396
253.71428571428555,336285.25039458857,0.4229073356345417
257.1428571428571,356282.56411072466,0.4480410096493241
260.57142857142844,376163.65726113156,0.4730286365939101
264.0,395922.7997389446,0.4978630158036476
267.42857142857133,415554.4139188058,0.5225371382277969
270.85714285714266,435053.08004850964,0.547044193204873
274.2857142857142,454413.5412439769,0.571377574739514
277.71428571428555,473630.70808115654,0.5955308872728361
281.1428571428571,492699.6627800713,0.6194979509402598
284.57142857142844,511615.66297781275,0.6432728063127958
288.0,530374.1450888641,0.6668497186197506
291.42857142857133,548970.7272526578,0.6902231814527366
294.85714285714266,567401.2118697676,0.7133879199527465
298.2857142857142,585661.5877295764,0.7363388934838568
301.71428571428555,603748.0317336373,0.7590712977988703
305.1428571428571,621656.9102202795,0.781580566703862
308.57142857142844,639384.7798972488,0.8038623732301727
312.0,656928.3883903688,0.825912630323874
315.42857142857133,674284.6744172993,0.8477274910641222
318.85714285714266,691450.767596507,0.8693033484231018
322.2857142857142,708423.9879024955,0.8906368345814486
325.71428571428555,725201.84477921,0.9117248198141205
329.1428571428571,741782.0359242993,0.9325644109626561
332.57142857142844,758162.4457576099,0.9531529495106286
336.0,774341.1435878893,0.9734880092798553
339.42857142857133,790316.3814921883,0.9935673937655782
342.85714285714266,806086.5919228916,1.0133891331293683
346.2857142857142,821650.3850576491,1.0329514808689513
349.71428571428555,837006.5459077554,1.052252910184491
353.1428571428571,852154.0312007123,1.0712921100611013
356.57142857142844,867091.9660528273,1.0900679810875091
360.0,881819.6404477434,1.1085796310308462
363.42857142857133,896336.5055367695,1.1268263701875065
366.85714285714266,910642.1697767955,1.144807706529907
